LLM,VALID_RESPONSE_catastrophic_level,VALID_RESPONSE_layout_level,VALID_RESPONSE_structure_level,VALID_RESPONSE_word_level,EXPLICIT_RESPONSE_catastrophic_level,EXPLICIT_RESPONSE_layout_level,EXPLICIT_RESPONSE_structure_level,EXPLICIT_RESPONSE_word_level,LLM_REASON_CONSISTENT_catastrophic_level,LLM_REASON_CONSISTENT_layout_level,LLM_REASON_CONSISTENT_structure_level,LLM_REASON_CONSISTENT_word_level,LLM_REASON_CONSISTENT_WITH_CODE_catastrophic_level,LLM_REASON_CONSISTENT_WITH_CODE_layout_level,LLM_REASON_CONSISTENT_WITH_CODE_structure_level,LLM_REASON_CONSISTENT_WITH_CODE_word_level,FPR_catastrophic_level,FPR_layout_level,FPR_structure_level,FPR_word_level,FNR_catastrophic_level,FNR_layout_level,FNR_structure_level,FNR_word_level
Llama-2-13b-chat-hf,99.24,99.24,96.95,92.37,100.0,99.24,97.71,92.37,99.24,96.18,94.66,90.84,36.64,80.15,69.47,33.59,0.0,3.08,6.15,21.54,100.0,68.18,74.24,48.48
qwen3-14b,100.0,100.0,99.24,100.0,100.0,100.0,99.24,100.0,100.0,100.0,99.24,100.0,100.0,99.24,98.47,94.66,100.0,1.54,1.54,3.08,0.0,9.09,13.64,1.52
CodeLlama-34b-Instruct-hf,98.47,98.47,98.47,96.95,100.0,99.24,98.47,96.95,92.37,93.89,85.5,90.84,36.64,85.5,80.15,52.67,40.0,1.54,0.0,3.08,54.55,86.36,89.39,69.7
qwen2-72b-instruct,100.0,99.24,99.24,100.0,100.0,99.24,99.24,100.0,100.0,99.24,99.24,100.0,100.0,97.71,98.47,74.81,100.0,1.54,1.54,20.0,0.0,7.58,15.15,4.55
Meta-Llama-3-70B-Instruct,100.0,99.24,99.24,98.47,100.0,98.47,98.47,97.71,99.24,99.24,99.24,96.18,99.24,96.18,95.42,91.6,100.0,4.62,3.08,44.62,0.0,0.0,1.52,1.52
qwen3-32b,100.0,99.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.95,98.47,96.95,100.0,6.15,4.62,18.46,0.0,1.52,1.52,0.0
Meta-Llama-3-8B-Instruct,100.0,98.47,98.47,97.71,100.0,99.24,99.24,97.71,100.0,98.47,98.47,96.18,100.0,93.13,93.13,56.49,100.0,9.23,3.08,87.69,0.0,7.58,9.09,1.52
Llama-2-7b-chat-hf,98.47,99.24,100.0,92.31,99.24,99.24,100.0,93.08,97.71,97.71,100.0,93.08,36.64,45.04,41.98,20.0,69.23,70.77,75.38,62.5,40.91,33.33,31.82,9.09
CodeLlama-70b-Instruct-hf,20.61,64.89,57.25,43.51,22.9,74.81,64.89,50.38,22.9,69.47,61.83,45.8,55.73,71.76,59.54,34.35,26.15,24.62,30.77,38.46,77.27,22.73,37.88,56.06
qwen3-8b,100.0,99.24,99.24,100.0,100.0,100.0,99.24,100.0,100.0,99.24,99.24,100.0,98.46,97.71,96.18,92.37,100.0,1.54,1.54,9.23,0.0,18.18,12.12,4.55
Llama-2-70b-chat-hf,100.0,99.24,99.24,94.62,100.0,99.24,99.24,94.62,100.0,99.24,99.24,93.08,60.31,78.63,73.28,18.46,96.92,18.46,33.85,83.08,0.0,4.55,0.0,4.62
deepseek-v3,100.0,98.47,98.47,99.24,99.24,97.71,98.47,99.24,100.0,98.47,99.24,100.0,100.0,96.95,99.24,98.47,100.0,1.54,1.54,4.62,0.0,3.03,4.55,3.03
CodeLlama-7b-Instruct-hf,100.0,98.47,99.24,100.0,100.0,99.24,100.0,100.0,93.89,92.37,95.42,93.89,47.33,80.15,77.86,48.09,55.38,7.69,6.15,20.0,37.88,62.12,74.24,63.64
CodeLlama-13b-Instruct-hf,90.84,98.47,100.0,96.95,89.31,98.47,100.0,96.95,90.08,96.18,97.71,93.13,61.83,77.1,80.15,56.49,44.62,15.38,10.77,29.23,56.06,56.06,62.12,43.94
deepseek-r1,100.0,99.24,99.24,100.0,99.24,99.24,100.0,100.0,100.0,99.24,99.24,100.0,99.24,99.24,98.47,96.95,100.0,7.69,12.31,36.92,0.0,1.52,1.52,1.52
qwen2-7b-instruct,100.0,99.24,99.24,98.47,100.0,99.24,99.24,98.47,100.0,98.47,97.71,97.71,96.95,94.66,91.6,60.31,100.0,0.0,0.0,66.15,0.0,18.18,33.33,0.0
